"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","success","value","task","resp"
"20058","
       <p style=""font-size:25px;border: 0px solid #000;border-radius: 5px; color:#222;padding: 8px; font-family: sans-serif"">Welcome</p><hr>
       <p>Thanks for participing in this chain-transmission experiment.</p>
       <p style=""font-size:18px"">To begin, click on <b>Continue</b>.</p>
  ","0","html-button-response","0","20061","0.0-0.0","","","",""
"","","","fullscreen","1","27369","0.0-1.0","true","","",""
"","","","call-function","2","27372","0.0-2.0","","true","",""
"19119","
<p>Welcome to this transmission chain experiment! This study explores the difficulty of spelling specific names.</p>

<p>You will be asked to spell the last name of a celebrity appearing on the screen. You will be shown a picture of the celebrity and an audio of his*her name.</p> 

<p>Good luck!</p>","0","html-button-response","3","46492","0.0-3.0","","","",""
"29130","","{""Q0"":""shiachien""}","survey-text","4","75630","0.0-4.0","","","",""
"","","","call-function","5","75630","0.0-5.0-0.0","","true","REPONSE SUJET","shiachien,"
"22329","<p>Click to make another person respond.<p><hr>","0","html-button-response","6","97960","0.0-5.0-1.0","","","",""
"25065","
<p>Welcome to this transmission chain experiment! This study explores the difficulty of spelling specific names.</p>

<p>You will be asked to spell the last name of a celebrity appearing on the screen. You will be shown a picture of the celebrity and an audio of his*her name.</p> 
<p>You will also be shown how the previous participant spelt it!</p> 

<p>Good luck!</p>","0","html-button-response","7","123026","0.0-5.0-2.0","","","",""
"null","<p style= ""font-size: 60px""><b>+</b></p>","null","html-keyboard-response","8","124038","0.0-5.0-3.0","","","",""
"null","<img src=https://resize-parismatch.lanmedia.fr/r/940,628/img/var/news/storage/images/paris-match/culture/cinema/the-assassin-hou-hsiao-hsien-cineaste-dans-l-ere-du-tang-927051/13205041-1-fre-FR/The-assassin-.-Hou-Hsiao-Hsien-cineaste-dans-l-ere-du-Tang.jpg style=""width:400px;""></img>
    <p style= ""font-size: 30px""><b>Hou shiachien</b></p>","null","html-keyboard-response","9","125044","0.0-5.0-4.0","","","",""
"18018","","{""Q0"":""shianen""}","survey-text","10","143068","0.0-5.0-5.0","","","",""
"","","","call-function","11","143071","0.0-5.1-0.1","","true","REPONSE SUJET","shianen,"
"13689","<p>Click to make another person respond.<p><hr>","0","html-button-response","12","156761","0.0-5.1-1.1","","","",""
"4232","
<p>Welcome to this transmission chain experiment! This study explores the difficulty of spelling specific names.</p>

<p>You will be asked to spell the last name of a celebrity appearing on the screen. You will be shown a picture of the celebrity and an audio of his*her name.</p> 
<p>You will also be shown how the previous participant spelt it!</p> 

<p>Good luck!</p>","0","html-button-response","13","160995","0.0-5.1-2.1","","","",""
"null","<p style= ""font-size: 60px""><b>+</b></p>","null","html-keyboard-response","14","162002","0.0-5.1-3.1","","","",""
"null","<img src=https://resize-parismatch.lanmedia.fr/r/940,628/img/var/news/storage/images/paris-match/culture/cinema/the-assassin-hou-hsiao-hsien-cineaste-dans-l-ere-du-tang-927051/13205041-1-fre-FR/The-assassin-.-Hou-Hsiao-Hsien-cineaste-dans-l-ere-du-Tang.jpg style=""width:400px;""></img>
    <p style= ""font-size: 30px""><b>Hou shianen</b></p>","null","html-keyboard-response","15","163010","0.0-5.1-4.1","","","",""
"13381","","{""Q0"":""shianen""}","survey-text","16","176395","0.0-5.1-5.1","","","",""
"","","","call-function","17","176396","0.0-5.2-0.2","","true","REPONSE SUJET","shianen,"
"45784","<p>Click to make another person respond.<p><hr>","0","html-button-response","18","222181","0.0-5.2-1.2","","","",""
"27831","
<p>Welcome to this transmission chain experiment! This study explores the difficulty of spelling specific names.</p>

<p>You will be asked to spell the last name of a celebrity appearing on the screen. You will be shown a picture of the celebrity and an audio of his*her name.</p> 
<p>You will also be shown how the previous participant spelt it!</p> 

<p>Good luck!</p>","0","html-button-response","19","250013","0.0-5.2-2.2","","","",""
"null","<p style= ""font-size: 60px""><b>+</b></p>","null","html-keyboard-response","20","251017","0.0-5.2-3.2","","","",""
"null","<img src=https://resize-parismatch.lanmedia.fr/r/940,628/img/var/news/storage/images/paris-match/culture/cinema/the-assassin-hou-hsiao-hsien-cineaste-dans-l-ere-du-tang-927051/13205041-1-fre-FR/The-assassin-.-Hou-Hsiao-Hsien-cineaste-dans-l-ere-du-Tang.jpg style=""width:400px;""></img>
    <p style= ""font-size: 30px""><b>Hou shianen</b></p>","null","html-keyboard-response","21","252029","0.0-5.2-4.2","","","",""
"35250","","{""Q0"":""Xiaoxien""}","survey-text","22","287283","0.0-5.2-5.2","","","",""
"","","","call-function","23","287284","0.0-5.3-0.3","","true","REPONSE SUJET","Xiaoxien,"
"17864","<p>Click to make another person respond.<p><hr>","0","html-button-response","24","305149","0.0-5.3-1.3","","","",""
"12232","
<p>Welcome to this transmission chain experiment! This study explores the difficulty of spelling specific names.</p>

<p>You will be asked to spell the last name of a celebrity appearing on the screen. You will be shown a picture of the celebrity and an audio of his*her name.</p> 
<p>You will also be shown how the previous participant spelt it!</p> 

<p>Good luck!</p>","0","html-button-response","25","317382","0.0-5.3-2.3","","","",""
"null","<p style= ""font-size: 60px""><b>+</b></p>","null","html-keyboard-response","26","318389","0.0-5.3-3.3","","","",""
"null","<img src=https://resize-parismatch.lanmedia.fr/r/940,628/img/var/news/storage/images/paris-match/culture/cinema/the-assassin-hou-hsiao-hsien-cineaste-dans-l-ere-du-tang-927051/13205041-1-fre-FR/The-assassin-.-Hou-Hsiao-Hsien-cineaste-dans-l-ere-du-Tang.jpg style=""width:400px;""></img>
    <p style= ""font-size: 30px""><b>Hou Xiaoxien</b></p>","null","html-keyboard-response","27","319398","0.0-5.3-4.3","","","",""
"15431","","{""Q0"":""Xiaousen""}","survey-text","28","334834","0.0-5.3-5.3","","","",""
"","","","call-function","29","334834","0.0-5.4-0.4","","true","REPONSE SUJET","Xiaousen,"
"66069","<p>Click to make another person respond.<p><hr>","0","html-button-response","30","400904","0.0-5.4-1.4","","","",""
"7163","
<p>Welcome to this transmission chain experiment! This study explores the difficulty of spelling specific names.</p>

<p>You will be asked to spell the last name of a celebrity appearing on the screen. You will be shown a picture of the celebrity and an audio of his*her name.</p> 
<p>You will also be shown how the previous participant spelt it!</p> 

<p>Good luck!</p>","0","html-button-response","31","408068","0.0-5.4-2.4","","","",""
"null","<p style= ""font-size: 60px""><b>+</b></p>","null","html-keyboard-response","32","409078","0.0-5.4-3.4","","","",""
"null","<img src=https://resize-parismatch.lanmedia.fr/r/940,628/img/var/news/storage/images/paris-match/culture/cinema/the-assassin-hou-hsiao-hsien-cineaste-dans-l-ere-du-tang-927051/13205041-1-fre-FR/The-assassin-.-Hou-Hsiao-Hsien-cineaste-dans-l-ere-du-Tang.jpg style=""width:400px;""></img>
    <p style= ""font-size: 30px""><b>Hou Xiaousen</b></p>","null","html-keyboard-response","33","410091","0.0-5.4-4.4","","","",""
"92660","","{""Q0"":""xiaocen""}","survey-text","34","502755","0.0-5.4-5.4","","","",""
"","","","call-function","35","502756","0.0-5.5-0.5","","true","REPONSE SUJET","xiaocen,"
"1765","<p>Click to make another person respond.<p><hr>","0","html-button-response","36","504522","0.0-5.5-1.5","","","",""
"1380","
<p>Welcome to this transmission chain experiment! This study explores the difficulty of spelling specific names.</p>

<p>You will be asked to spell the last name of a celebrity appearing on the screen. You will be shown a picture of the celebrity and an audio of his*her name.</p> 
<p>You will also be shown how the previous participant spelt it!</p> 

<p>Good luck!</p>","0","html-button-response","37","505904","0.0-5.5-2.5","","","",""
"null","<p style= ""font-size: 60px""><b>+</b></p>","null","html-keyboard-response","38","506906","0.0-5.5-3.5","","","",""
"null","<img src=https://resize-parismatch.lanmedia.fr/r/940,628/img/var/news/storage/images/paris-match/culture/cinema/the-assassin-hou-hsiao-hsien-cineaste-dans-l-ere-du-tang-927051/13205041-1-fre-FR/The-assassin-.-Hou-Hsiao-Hsien-cineaste-dans-l-ere-du-Tang.jpg style=""width:400px;""></img>
    <p style= ""font-size: 30px""><b>Hou xiaocen</b></p>","null","html-keyboard-response","39","507915","0.0-5.5-4.5","","","",""
"44489","","{""Q0"":""housiasene""}","survey-text","40","552408","0.0-5.5-5.5","","","",""
"","","","call-function","41","552408","0.0-5.6-0.6","","true","REPONSE SUJET","housiasene,"
"14915","<p>Click to make another person respond.<p><hr>","0","html-button-response","42","567324","0.0-5.6-1.6","","","",""
"7616","
<p>Welcome to this transmission chain experiment! This study explores the difficulty of spelling specific names.</p>

<p>You will be asked to spell the last name of a celebrity appearing on the screen. You will be shown a picture of the celebrity and an audio of his*her name.</p> 
<p>You will also be shown how the previous participant spelt it!</p> 

<p>Good luck!</p>","0","html-button-response","43","574942","0.0-5.6-2.6","","","",""
"null","<p style= ""font-size: 60px""><b>+</b></p>","null","html-keyboard-response","44","575950","0.0-5.6-3.6","","","",""
